date,operator,flight_phase,flight_type,country,region,total_on_board,crew_on_board,crew_fatalities,passengers_on_board,passenger_fatalities,total_fatalities,total_survivors,crash_cause
1988-01-18 00:00:00,China Southwest Airlines,Landing (descent or approach),Commercial,China,Asia,108,10,10,98,98,108,0,Technical Failure
1993-09-22 00:00:00,ORBI Georgian Airways - ORBI Air Company,Landing (descent or approach),Commercial,Georgia,Asia,132,12,8,120,100,108,24,Terrorism
2005-12-10 00:00:00,Sosoliso Airlines,Landing (descent or approach),Commercial,Nigeria,Africa,110,7,7,103,101,108,2,Human Factor
1962-03-16 00:00:00,Flying Tiger Line,Flight,Commercial,World,World,107,11,11,96,96,107,0,Unknown
1967-11-16 00:00:00,Aeroflot - Russian International Airlines,Takeoff (climb),Commercial,Russia,Asia,107,8,8,99,99,107,0,Technical Failure
1974-04-22 00:00:00,Pan American World Airways - PAA,Landing (descent or approach),Commercial,Indonesia,Asia,107,11,11,96,96,107,0,Technical Failure
1989-11-27 00:00:00,Avianca,Takeoff (climb),Commercial,Colombia,South America,107,6,6,101,101,107,0,Terrorism
1992-07-31 00:00:00,China General Aviation Corporation - CGAC,Takeoff (climb),Commercial,China,Asia,126,10,9,116,98,107,19,Human Factor
1973-12-22 00:00:00,Sobelair,Landing (descent or approach),Commercial,Morocco,Africa,106,8,8,98,98,106,0,Human Factor
2005-02-03 00:00:00,Kam Air,Flight,Commercial,Afghanistan,Asia,105,8,8,97,97,105,0,Human Factor
1972-01-07 00:00:00,Iberia - Lineas Aéreas de Espana,Landing (descent or approach),Commercial,Spain,Europe,104,6,6,98,98,104,0,Human Factor
1997-12-19 00:00:00,Silkair,Flight,Commercial,Indonesia,Asia,104,7,7,97,97,104,0,Human Factor
1998-02-02 00:00:00,Cebu Pacific Air,Flight,Commercial,Philippines,Asia,104,5,5,99,99,104,0,Human Factor
1986-11-03 00:00:00,Islamic Republic of Iran Air Force,Landing (descent or approach),Military / Government,Iran,Asia,103,7,7,96,96,103,0,Human Factor
2010-05-12 00:00:00,Afriqiyah Airways,Landing (descent or approach),Commercial,Libya,Africa,104,11,11,93,92,103,1,Human Factor
1968-02-07 00:00:00,Indian Air Force - Bharatiya Vayu Sena,Flight,Military / Government,India,Asia,102,4,4,98,98,102,0,Weather
1970-02-15 00:00:00,Dominicana de Aviación,Takeoff (climb),Commercial,Dominican Republic,Central America,102,5,5,97,97,102,0,Technical Failure
1972-08-31 00:00:00,Aeroflot - Russian International Airlines,Landing (descent or approach),Commercial,Russia,Asia,102,9,9,93,93,102,0,Other
2003-03-06 00:00:00,Air Algérie,Takeoff (climb),Commercial,Algeria,Africa,103,6,6,97,96,102,1,Technical Failure
2007-01-01 00:00:00,AdamAir,Flight,Commercial,Indonesia,Asia,102,6,6,96,96,102,0,Human Factor
1963-06-03 00:00:00,Northwest Airlines,Flight,Commercial,World,World,101,6,6,95,95,101,0,Unknown
1972-12-29 00:00:00,Eastern Airlines,Landing (descent or approach),Commercial,United States of America,North America,176,13,5,163,96,101,75,Human Factor
1998-12-11 00:00:00,Thai Airways International,Landing (descent or approach),Commercial,Thailand,Asia,146,14,11,132,90,101,45,Human Factor
1969-03-20 00:00:00,United Arab Airlines,Landing (descent or approach),Commercial,Egypt,Africa,105,7,7,98,93,100,5,Human Factor
1977-12-04 00:00:00,Malaysian Airlines System - MAS,Flight,Commercial,Malaysia,Asia,100,7,7,93,93,100,0,Terrorism
2005-09-05 00:00:00,Mandala Airlines,Takeoff (climb),Commercial,Indonesia,Asia,117,5,5,112,95,100,17,Human Factor
1958-08-14 00:00:00,KLM Royal Dutch Airlines - Koninklijke Luchtvaart Maatschappij,Flight,Commercial,World,World,99,8,8,91,91,99,0,Technical Failure
1970-08-09 00:00:00,LANSA Peru - Lineas Aéreas Nacionales del Peru,Takeoff (climb),Commercial,Peru,South America,100,9,8,91,91,99,1,Human Factor
1981-11-16 00:00:00,Aeroflot - Russian International Airlines,Landing (descent or approach),Commercial,Russia,Asia,167,7,4,160,95,99,68,Human Factor
1966-09-01 00:00:00,Britannia Airways,Landing (descent or approach),Commercial,Slovenia,Europe,117,7,6,110,92,98,19,Human Factor
1991-03-21 00:00:00,Royal Saudi Air Force,Landing (descent or approach),Military / Government,Saudi Arabia,Asia,101,6,6,95,92,98,3,Human Factor
1995-12-07 00:00:00,Dalavia - Dal'nevostochny Avialinii,Flight,Commercial,Russia,Asia,98,8,8,90,90,98,0,Human Factor
2009-05-20 00:00:00,Indonesian Air Force - TNI-AU Tentara Nasional Indonesia - Angkatan Udara,Landing (descent or approach),Military / Government,Indonesia,Asia,112,14,10,98,88,98,14,Human Factor
1962-11-27 00:00:00,VARIG - Viação Aérea Rio Grandense,Landing (descent or approach),Commercial,Peru,South America,97,17,17,80,80,97,0,Technical Failure
1971-07-25 00:00:00,Aeroflot - Russian International Airlines,Landing (descent or approach),Commercial,Russia,Asia,126,8,4,118,93,97,29,Human Factor
1974-01-30 00:00:00,Pan American World Airways - PAA,Landing (descent or approach),Commercial,Samoa,Oceania,101,10,10,91,87,97,4,Human Factor
2020-05-22 00:00:00,Pakistan International Airlines - PIA,Landing (descent or approach),Commercial,Pakistan,Asia,99,8,8,91,89,97,2,Human Factor
